drugbank_id	category	entrez_gene_id	source	target	edges
DB02059	target	1253612	Compound::DB02059	Gene::1253612	DRUGBANK::target::Compound:Gene
DB02059	target	1938	Compound::DB02059	Gene::1938	DRUGBANK::target::Compound:Gene
DB02059	target	23408	Compound::DB02059	Gene::23408	DRUGBANK::target::Compound:Gene
DB02059	target	12932282	Compound::DB02059	Gene::12932282	DRUGBANK::target::Compound:Gene
DB02059	target	947906	Compound::DB02059	Gene::947906	DRUGBANK::target::Compound:Gene
DB02059	target	23410	Compound::DB02059	Gene::23410	DRUGBANK::target::Compound:Gene
DB02062	target	4311	Compound::DB02062	Gene::4311	DRUGBANK::target::Compound:Gene
DB02062	target	4048	Compound::DB02062	Gene::4048	DRUGBANK::target::Compound:Gene
DB02063	target	5644	Compound::DB02063	Gene::5644	DRUGBANK::target::Compound:Gene
DB02066	target	12934012	Compound::DB02066	Gene::12934012	DRUGBANK::target::Compound:Gene
DB02066	target	945654	Compound::DB02066	Gene::945654	DRUGBANK::target::Compound:Gene
DB02067	target	6470	Compound::DB02067	Gene::6470	DRUGBANK::target::Compound:Gene
DB02068	target	2628	Compound::DB02068	Gene::2628	DRUGBANK::target::Compound:Gene
DB02068	target	210	Compound::DB02068	Gene::210	DRUGBANK::target::Compound:Gene
DB02069	target	760	Compound::DB02069	Gene::760	DRUGBANK::target::Compound:Gene
DB02071	target	4322	Compound::DB02071	Gene::4322	DRUGBANK::target::Compound:Gene
DB02072	target	5770	Compound::DB02072	Gene::5770	DRUGBANK::target::Compound:Gene
DB02073	target	645	Compound::DB02073	Gene::645	DRUGBANK::target::Compound:Gene
DB02073	target	3162	Compound::DB02073	Gene::3162	DRUGBANK::target::Compound:Gene
DB02073	target	4151	Compound::DB02073	Gene::4151	DRUGBANK::target::Compound:Gene
DB02074	carrier	2168	Compound::DB02074	Gene::2168	DRUGBANK::carrier::Compound:Gene
DB02076	target	5226	Compound::DB02076	Gene::5226	DRUGBANK::target::Compound:Gene
DB02076	target	2821	Compound::DB02076	Gene::2821	DRUGBANK::target::Compound:Gene
DB02076	target	12932507	Compound::DB02076	Gene::12932507	DRUGBANK::target::Compound:Gene
DB02076	target	947937	Compound::DB02076	Gene::947937	DRUGBANK::target::Compound:Gene
DB02077	target	4846	Compound::DB02077	Gene::4846	DRUGBANK::target::Compound:Gene
DB02077	target	4842	Compound::DB02077	Gene::4842	DRUGBANK::target::Compound:Gene
DB02078	target	10105	Compound::DB02078	Gene::10105	DRUGBANK::target::Compound:Gene
DB02078	target	2534	Compound::DB02078	Gene::2534	DRUGBANK::target::Compound:Gene
DB02078	target	1024152	Compound::DB02078	Gene::1024152	DRUGBANK::target::Compound:Gene
DB02078	target	1076727	Compound::DB02078	Gene::1076727	DRUGBANK::target::Compound:Gene
DB02078	target	5217	Compound::DB02078	Gene::5217	DRUGBANK::target::Compound:Gene
DB02078	target	12931820	Compound::DB02078	Gene::12931820	DRUGBANK::target::Compound:Gene
DB02078	target	945775	Compound::DB02078	Gene::945775	DRUGBANK::target::Compound:Gene
DB02078	target	1133410	Compound::DB02078	Gene::1133410	DRUGBANK::target::Compound:Gene
DB02078	target	3193685	Compound::DB02078	Gene::3193685	DRUGBANK::target::Compound:Gene
DB02078	target	1087096	Compound::DB02078	Gene::1087096	DRUGBANK::target::Compound:Gene
DB02078	target	2850559	Compound::DB02078	Gene::2850559	DRUGBANK::target::Compound:Gene
DB02079	target	189	Compound::DB02079	Gene::189	DRUGBANK::target::Compound:Gene
DB02080	carrier	7274	Compound::DB02080	Gene::7274	DRUGBANK::carrier::Compound:Gene
DB02080	target	5320	Compound::DB02080	Gene::5320	DRUGBANK::target::Compound:Gene
DB02080	target	12930473	Compound::DB02080	Gene::12930473	DRUGBANK::target::Compound:Gene
DB02080	target	947040	Compound::DB02080	Gene::947040	DRUGBANK::target::Compound:Gene
DB02081	target	5644	Compound::DB02081	Gene::5644	DRUGBANK::target::Compound:Gene
DB02082	target	51762	Compound::DB02082	Gene::51762	DRUGBANK::target::Compound:Gene
DB02084	target	5644	Compound::DB02084	Gene::5644	DRUGBANK::target::Compound:Gene
DB02087	target	760	Compound::DB02087	Gene::760	DRUGBANK::target::Compound:Gene
DB02088	target	12933200	Compound::DB02088	Gene::12933200	DRUGBANK::target::Compound:Gene
DB02088	target	947882	Compound::DB02088	Gene::947882	DRUGBANK::target::Compound:Gene
DB02089	target	5836	Compound::DB02089	Gene::5836	DRUGBANK::target::Compound:Gene
DB02090	target	4314	Compound::DB02090	Gene::4314	DRUGBANK::target::Compound:Gene
